aircraftType,category,,,,,
A306,Large,,,,GA,Private planes
A319,Medium,,,,Small,Regional Jets
A320,Medium,,,,Medium,Single-aisle commercial jets
A321,Medium,,,,Large,Two-aisle commercial jets
A332,Large,,,,Super,A380
A333,Large,,,,,
A388,Super,,,,Unknown aircraft should be GA,
B190,GA,,,,,
B350,GA,,,,,
B712,Medium,,,,,
B733,Medium,,,,,
B734,Medium,,,,,
B736,Medium,,,,,
B737,Medium,,,,,
B738,Medium,,,,,
B739,Medium,,,,,
B744,Large,,,,,
B748,Large,,,,,
B752,Medium,,,,,
B753,Medium,,,,,
B762,Large,,,,,
B763,Large,,,,,
B764,Large,,,,,
B772,Large,,,,,
B77L,Large,,,,,
B77W,Large,,,,,
B788,Large,,,,,
B789,Large,,,,,
BE20,GA,,,,,
BE30,GA,,,,,
BE58,GA,,,,,
BE99,GA,,,,,
BE9L,GA,,,,,
C208,GA,,,,,
C25B,GA,,,,,
C501,GA,,,,,
C510,GA,,,,,
C525,GA,,,,,
C550,GA,,,,,
C560,GA,,,,,
C56X,GA,,,,,
C650,GA,,,,,
C680,GA,,,,,
C750,GA,,,,,
CL30,GA,,,,,
CL35,GA,,,,,
CL60,GA,,,,,
CRJ1,Small,,,,,
CRJ2,Small,,,,,
CRJ7,Small,,,,,
CRJ9,Small,,,,,
DC10,Large,,,,,
DH8B,GA,,,,,
DH8C,GA,,,,,
E120,Small,,,,,
E135,Small,,,,,
E145,Small,,,,,
E170,Small,,,,,
E190,Small,,,,,
E45X,Small,,,,,
E50P,Small,,,,,
E550,Small,,,,,
E55P,Small,,,,,
E75L,Small,,,,,
E75S,Small,,,,,
F2TH,GA,,,,,
FA10,GA,,,,,
FA50,GA,,,,,
GLF4,GA,,,,,
GLF5,GA,,,,,
H25B,GA,,,,,
J328,GA,,,,,
LJ31,GA,,,,,
LJ35,GA,,,,,
LJ45,GA,,,,,
LJ70,GA,,,,,
LJ75,GA,,,,,
MD11,Large,,,,,
MD82,Medium,,,,,
MD83,Medium,,,,,
MD88,Medium,,,,,
MD90,Medium,,,,,
PA31,GA,,,,,
PC12,GA,,,,,
SF34,GA,,,,,
SW4,GA,,,,,
