exit,runway,lat,long,distNode1,distNode2,distNode3,distNode4,distNode5,distNode6,distNode7,distNode8,distNode9,distNode10,distNode11,distNode12,distNode13,distNode14,distNode15,distNode16,distNode17,distNode18,distNode19
6,"08L, 26R",33.649516,-84.438842,903,695,1040,1347,1649,2271,1076,868,1213,1520,1822,1306,1098,1443,1750,2052,2639,2768,3189
7,"08L, 26R",33.649462,-84.437361,964,750,1101,1171,1220,1827,1137,923,1274,1344,1393,1367,1153,1504,1574,1623,2195,2324,2715
8,"08L, 26R",33.649516,-84.4316,1086,772,939,1136,1185,1791,1259,945,1112,1309,1358,1489,1175,1342,1539,1588,2151,2288,2679
9,"08L, 26R",33.649498,-84.426803,1629,1424,1177,1073,807,1414,1802,1597,1350,1246,980,2032,1827,1580,1476,1210,1774,1911,2302
10,"08L, 26R",33.649516,-84.423399,2022,1817,1570,1349,1083,886,2195,1990,1743,1522,1256,2425,2220,1973,1752,1486,1246,1383,1774
11,"08L, 26R",33.649533,-84.422408,2116,1911,1664,1443,1177,801,2289,2084,1837,1616,1350,2519,2314,2067,1846,1580,1061,1198,1589
12,"08L, 26R",33.64948,-84.421903,2551,2346,2099,1878,1612,1236,2724,2519,2272,2051,1785,2954,2749,2502,2281,2015,1596,1733,2124
13,"08L, 26R",33.649533,-84.417345,2809,2729,2482,2037,1735,1458,2982,2902,2655,2210,1908,3212,3132,2885,2440,2138,1818,1955,2346
14,"08L, 26R",33.649534,-84.410735,3354,3274,3027,2582,2280,2003,3527,3447,3200,2755,2453,3757,3677,3430,2985,2683,2363,2500,2891
15,"08L, 26R",33.649522,-84.409724,3459,3379,3132,2687,2385,2108,3632,3552,3305,2860,2558,3862,3782,3535,3090,2788,2468,2605,2996
24,"08R, 26L",33.646752,-84.438149,641,366,778,1085,1387,2009,814,539,951,1258,1560,1044,769,1181,1488,1790,2369,2506,2897
25,"08R, 26L",33.646753,-84.436437,729,418,667,973,1275,1897,902,591,840,1146,1448,1132,821,1070,1376,1678,2257,2394,2785
26,"08R, 26L",33.646772,-84.431652,1030,825,576,660,935,1551,1203,998,749,833,1108,1433,1228,979,1063,1338,1911,2048,2439
27,"08R, 26L",33.646754,-84.428621,1469,1264,1015,707,432,1048,1642,1437,1188,880,605,1872,1667,1418,1110,835,1408,1545,1936
28,"08R, 26L",33.646719,-84.424959,1644,1439,1188,882,607,971,1817,1612,1361,1055,780,2047,1842,1591,1285,1010,1331,1468,1859
29,"08R, 26L",33.646791,-84.423361,1857,1652,1403,1097,795,632,2030,1825,1576,1270,968,2260,2055,1806,1500,1198,992,1129,1520
30,"08R, 26L",33.646809,-84.422349,1942,1737,1488,1182,880,547,2115,1910,1661,1355,1053,2345,2140,1891,1585,1283,907,1044,1435
31,"08R, 26L",33.646774,-84.416554,2589,2395,2146,1840,1538,1110,2762,2568,2319,2013,1711,2992,2798,2549,2243,1941,1470,1607,1998
32,"08R, 26L",33.64672,-84.408036,3397,3203,2954,2648,2346,1918,3570,3376,3127,2821,2519,3800,3606,3357,3051,2749,2278,2415,2806
33,"08R, 26L",33.646756,-84.405799,3594,3400,3151,2845,2543,2115,3767,3573,3324,3018,2716,3997,3803,3554,3248,2946,2475,2612,3003
34,"09L, 27R",33.634698,-84.44779,1440,1750,2060,2370,2680,3134,1267,1577,1887,2197,2507,1037,1347,1657,1967,2277,2587,2907,3264
35,"09L, 27R",33.634734,-84.444872,1204,1514,1824,2134,2444,2898,1031,1341,1651,1961,2271,801,1111,1421,1731,2041,2351,2671,3028
36,"09L, 27R",33.634752,-84.441933,928,1238,1548,1858,2168,2622,755,1065,1375,1685,1995,525,835,1145,1455,1765,2075,2395,2752
37,"09L, 27R",33.634734,-84.440259,836,1140,1450,1760,2070,2225,606,910,1220,1530,1840,433,737,1047,1357,1667,1977,2297,2654
38,"09L, 27R",33.634752,-84.436073,1277,969,993,1303,1613,1768,1104,796,820,1130,1440,874,566,590,900,1210,1520,1840,2197
39,"09L, 27R",33.634734,-84.43313,1556,1242,940,1030,1340,1495,1383,1069,767,857,1167,1153,839,537,627,937,1247,1567,1924
40,"09L, 27R",33.634752,-84.430308,1836,1528,1218,939,1249,1404,1663,1355,1045,766,1076,1433,1125,815,536,846,1156,1476,1833
41,"09L, 27R",33.634751,-84.428489,1979,1671,1361,1051,919,1074,1806,1498,1188,878,746,1576,1268,958,648,516,826,1146,1503
42,"09L, 27R",33.63475,-84.425902,2440,2126,1816,1506,1196,826,2267,1953,1643,1333,1023,2037,1723,1413,1103,793,578,898,1255
43,"09L, 27R",33.634731,-84.422351,2554,2246,1936,1626,1316,1018,2381,2073,1763,1453,1143,2151,1843,1533,1223,913,495,344,597
44,"09L, 27R",33.634713,-84.42076,2662,2354,2044,1734,1424,954,2489,2181,1871,1561,1251,2259,1951,1641,1331,1021,431,350,563
45,"09L, 27R",33.634713,-84.417726,3076,2768,2458,2148,1838,1301,2903,2595,2285,1975,1665,2673,2365,2055,1745,1435,752,560,429
46,"09L, 27R",33.634731,-84.415982,3137,2829,2519,2209,1899,1362,2964,2656,2346,2036,1726,2734,2426,2116,1806,1496,813,621,490
47,"09L, 27R",33.63473,-84.410467,3647,3339,3029,2719,2409,1872,3474,3166,2856,2546,2236,3244,2936,2626,2316,2006,1323,1131,1000
48,"09L, 27R",33.634731,-84.409167,3721,3413,3103,2793,2483,1946,3548,3240,2930,2620,2310,3318,3010,2700,2390,2080,1397,1205,1074
57,"09R, 27L",33.631816,-84.447772,1721,2031,2341,2651,2961,3415,1548,1858,2168,2478,2788,1318,1628,1938,2248,2558,2868,3188,3545
58,"09R, 27L",33.631868,-84.441252,1206,1516,1826,2136,2446,2900,1033,1343,1653,1963,2273,803,1113,1423,1733,2043,2353,2673,3030
59,"09R, 27L",33.631867,-84.43614,1555,1247,1271,1581,1891,2046,1382,1074,1098,1408,1718,1152,844,868,1178,1488,1798,2118,2475
60,"09R, 27L",33.631848,-84.431837,2073,1759,1457,1547,1283,1438,1900,1586,1284,1242,1110,1670,1356,1054,1012,880,1190,1510,1867
61,"09R, 27L",33.631829,-84.425711,2482,2174,1864,1554,1422,3362,2309,2001,1691,1381,1249,2079,1771,1461,1151,1019,2839,2688,2941
62,"09R, 27L",33.631845,-84.420266,2835,2527,2217,1907,1597,1299,2662,2354,2044,1734,1424,2432,2124,1814,1504,1194,776,775,988
63,"09R, 27L",33.631826,-84.419146,2943,2635,2325,2015,1705,1235,2770,2462,2152,1842,1532,2540,2232,1922,1612,1302,712,631,702
69,"10, 28",33.620291,-84.447647,4012,3704,3615,3705,3768,3923,3839,3531,3442,3532,3595,3609,3301,3212,3302,3365,3675,3995,4352
70,"10, 28",33.620273,-84.446506,3906,3598,3509,3599,3662,3817,3733,3425,3336,3426,3489,3503,3195,3106,3196,3259,3569,3889,4246
71,"10, 28",33.620326,-84.44133,3774,3466,3377,3467,3530,3685,3601,3293,3204,3294,3357,3371,3063,2974,3064,3127,3437,3757,4114
72,"10, 28",33.620289,-84.436964,3345,3037,2948,3038,3101,3256,3172,2864,2775,2865,2928,2942,2634,2545,2635,2698,3008,3328,3685
73,"10, 28",33.620289,-84.432079,3240,2932,2843,2933,2832,2987,3067,2759,2670,2760,2659,2837,2529,2440,2530,2429,2739,3059,3416
74,"10, 28",33.620829,-84.424873,3902,3594,3505,3595,3494,3649,3729,3421,3332,3422,3321,3499,3191,3102,3192,3091,3401,3721,4078
75,"10, 28",33.620271,-84.419715,4219,3911,3822,3912,3811,3966,4046,3738,3649,3739,3638,3816,3508,3419,3509,3408,3718,4038,4395
76,"10, 28",33.620253,-84.418598,4323,4015,3926,4016,3915,4070,4150,3842,3753,3843,3742,3920,3612,3523,3613,3512,3822,4142,4499
