exit,runway,lat,long,distNode1,distNode2,distNode3,distNode4,distNode5,distNode6,distNode7,distNode8,distNode9,distNode10,distNode11
1,"15L, 33R",39.187256,-76.66345,582,669,582,500,699,985,1240,1508,1765,1944,2110
3,"15L, 33R",39.183957,-76.660406,1000,933,945,863,716,943,1179,1420,1677,1856,2022
7,"15L, 33R",39.181467,-76.658096,921,799,791,651,495,722,958,1199,1456,1635,1801
14,"15L, 33R",39.179166,-76.655937,1344,1222,1214,1074,918,1145,1381,1622,1879,2058,2224
16,"15L, 33R",39.176356,-76.65337,1653,1531,1523,1383,1227,1454,1690,1931,2188,2367,2533
38,"22, 4",39.180238,-76.660139,803,681,673,533,282,509,745,986,1243,1422,1588
11,"22, 4",39.177361,-76.662554,1105,983,975,835,290,288,400,646,903,1082,1248
23,"22, 4",39.174509,-76.664952,1434,1312,1304,1164,677,433,333,505,762,941,1107
29-D,"22, 4",39.171955,-76.667108,1636,1514,1506,1366,885,633,499,540,797,976,1142
34,"22, 4",39.167011,-76.671253,2326,2204,2196,2056,1575,1323,1189,1230,1487,1666,1832
0,"15R, 33L",39.18524,-76.681832,2978,2856,2848,2566,2078,1792,1537,1289,1029,866,894
6,"15R, 33L",39.181001,-76.677955,2603,2481,2473,2191,1703,1417,1162,914,654,491,519
10,"15R, 33L",39.17796,-76.675102,2132,2001,1993,1711,1223,937,682,435,272,257,423
21,"15R, 33L",39.175805,-76.673151,1875,1753,1745,1605,1118,874,667,708,560,545,711
29-E,"15R, 33L",39.171941,-76.669555,1620,1498,1490,1350,869,617,483,524,781,960,1126
35,"15R, 33L",39.166729,-76.664707,2231,2109,2101,1961,1480,1228,1094,1135,1392,1571,1737
36,"15R, 33L",39.164419,-76.662591,2535,2413,2405,2265,1784,1532,1398,1439,1696,1875,2041
17,"10, 28",39.17473,-76.689387,3405,3274,3266,2984,2496,2210,1955,1708,1545,1530,1696
18,"10, 28",39.174597,-76.687316,3299,3168,3160,2878,2390,2104,1849,1602,1439,1424,1590
19,"10, 28",39.174296,-76.681709,2770,2648,2640,2500,2013,1769,1562,1208,1045,1030,1196
20,"10, 28",39.174009,-76.67683,2365,2243,2235,2095,1608,1364,1157,1122,974,959,1125
22,"10, 28",39.173507,-76.668476,1493,1371,1363,1223,742,490,356,397,614,804,970
25,"10, 28",39.173039,-76.659152,1552,1430,1422,1282,825,823,1065,1106,1323,1513,1679
26,"10, 28",39.172814,-76.655638,1614,1492,1484,1344,1059,1057,1312,1353,1570,1760,1926
